pais;nodo;anio;anio_esp;anio_nacimiento;edad_contienda;anios_adultez;ratio.kb_edad;ratio.edad_in.stat;ratio.edad_out.stat;candidato;id_candidato;partidos;votos;exito;estrategia;presidencia;vicepresidencia;ministerio;gobernatura;ejercito;corte_suprema;legislatura;alcaldia;partido_politico;empresas;soc_civil;mov_rev;org_relig;kb;intra;para;sub;exa;ana;in_state;out_state
ARG;71;1951;;1904;47;29;6.83;6.14;0.69;Ricardo Balbí;Rbalbín;UCR ;31.81;Perdedor;Alterna;0;0;77;0;0;0;56;0;45;0;0;20;0;198;77;56;45;0;20;0.9;0.1
ARG;72;1951;;1898;53;35;14.49;14.49;0.00;Reynaldo Alberto Pastor;Rpastor;PDN;2.29;Perdedor;Alterna;0;0;0;190;0;0;224;48;45;0;0;0;0;507;0;414;93;0;0;1;0
ARG;73;1951;;1897;54;36;5.83;5.28;0.56;Rodolfo José Ghioldi;Rghuildi;PC;0.93;Perdedor;Alterna;0;0;0;0;0;0;0;0;190;0;0;20;0;210;0;0;190;0;20;0.9;0.1
ARG;74;1951;;1878;73;55;4.42;3.87;0.55;Alfredo Lorenzo Ramón Palacios;Apalacios;PS;0.72;Perdedor;Alterna;0;0;0;0;0;0;168;0;45;0;30;0;0;243;0;168;45;30;0;0.88;0.12
ARG;75;1951;;1889;62;44;3.39;3.39;0.00;Genaro Giacobini;Ggiacobini;PSP;0.07;Perdedor;Alterna;0;0;0;0;0;0;56;48;45;0;0;0;0;149;0;56;93;0;0;1;0
ARG;76;1951;;1888;63;45;9.00;9.00;0.00;Luciano Florencio Molinas;Lmolinas;PDP;0.03;Perdedor;Alterna;0;0;0;100;0;0;210;0;95;0;0;0;0;405;0;310;95;0;0;1;0
ARG;77;1951;;1890;61;43;5.60;5.60;0.00;José Fernando Peñelón;JFPeñelon;CO;0.01;Perdedor;Alterna;0;0;0;0;0;0;0;96;145;0;0;0;0;241;0;0;241;0;0;1;0
ARG;78;1955;a;1896;59;41;4.12;3.63;0.49;Eduardo Ernesto Lonardi;ELonardi;Revolución Libertadora;0;De facto;Despoja;0;0;77;0;72;0;0;0;0;0;0;20;0;169;77;72;0;0;20;0.88;0.12
ARG;79;1955;b;1903;52;34;11.97;11.38;0.59;Pedro Eugenio Aramburu;PAramburu;Revolución Libertadora;0;De facto;Despoja;0;0;0;0;387;0;0;0;0;0;0;20;0;407;0;387;0;0;20;0.95;0.05
ARG;80;1958;;1908;50;32;5.34;4.72;0.63;Arturo Frondizi;Afrondizi;UCRI;44.79;Ganador;Recupera;0;0;0;0;0;0;56;0;95;0;0;20;0;171;0;56;95;0;20;0.88;0.12
ARG;81;1958;;1904;54;36;6.75;6.19;0.56;Ricardo Balbín;Rbalbín;UCRP;28.91;Perdedor;Alterna;0;0;77;0;0;0;56;0;90;0;0;20;0;243;77;56;90;0;20;0.92;0.08
ARG;82;1958;;1861;97;79;1.91;1.91;0.00;Lucas Ayarragaray Viera;Larraragaray;PDC;3.17;Perdedor;Alterna;0;0;0;0;0;0;56;0;95;0;0;0;0;151;0;56;95;0;0;1;0
ARG;83;1958;;1878;80;62;6.97;6.48;0.48;Alfredo Palacios;Apalacios;PS;2.87;Perdedor;Alterna;0;0;88;0;0;0;224;0;90;0;30;0;0;432;88;224;90;30;0;0.93;0.07
ARG;84;1958;;1901;57;39;12.59;12.59;0.00;Vicente Solano Lima;Vsolano;PCP;1.89;Perdedor;Alterna;0;0;0;180;0;0;224;42;45;0;0;0;0;491;0;404;87;0;0;1;0
ARG;85;1958;;1888;70;52;8.96;8.65;0.31;Luciano Florencio Molinas;Lmolinas;PDP;1.4;Perdedor;Alterna;0;0;0;100;0;0;210;0;140;0;0;16;0;466;0;310;140;0;16;0.97;0.03
ARG;86;1958;;1905;53;35;4.03;4.03;0.00;Alejandro Henrique Leloir;Aleloir;UP;1.1;Perdedor;Alterna;0;0;0;0;0;0;56;0;85;0;0;0;0;141;0;56;85;0;0;1;0
ARG;87;1958;;1918;40;22;20.05;6.05;14.00;Juan Bautista Peña;Jbautista;PCI;0.43;Perdedor;Alterna;0;0;88;0;0;0;0;0;45;308;0;0;0;441;88;0;45;308;0;0.3;0.7
ARG;88;1962;;1910;52;34;10.88;10.29;0.59;José María Guido;JMGuido;UCRI;0;De facto;Interino;130;0;0;0;0;0;175;0;45;0;0;20;0;370;130;175;45;0;20;0.95;0.05
ARG;89;1963;;1900;63;45;4.78;4.33;0.44;Arturo Umberto Illia;AIllia;UCRP;31.9;Ganador;Alterna;0;0;0;90;0;0;105;0;0;0;0;20;0;215;0;195;0;0;20;0.91;0.09
ARG;90;1963;;1909;54;36;12.64;12.64;0.00;Oscar Eduardo Alende;Oalende;UCRI;20.82;Perdedor;Mantiene;0;0;99;100;0;0;161;0;95;0;0;0;0;455;99;261;95;0;0;1;0
ARG;91;1963;;1903;60;42;13.86;13.38;0.48;Pedro Eugenio Aramburu;PAramburu;UDELPA;17.81;Perdedor;Alterna;130;0;0;0;387;0;0;0;45;0;0;20;0;582;130;387;45;0;20;0.97;0.03
ARG;92;1963;;1884;79;61;2.28;2.28;0.00;Emilio Felipe Olmos;EOlmos;PD;6.69;Perdedor;Alterna;0;0;0;0;0;0;0;54;85;0;0;0;0;139;0;0;139;0;0;1;0
ARG;93;1963;;1923;40;22;7.18;6.36;0.82;Horacio Jorge Sueldo;HSueldo;PDC;5.68;Perdedor;Alterna;0;0;0;0;0;0;0;0;140;0;0;18;0;158;0;0;140;0;18;0.89;0.11
ARG;94;1963;;1878;85;67;7.12;6.67;0.45;Alfredo Palacios;Apalacios;PSA;3.64;Perdedor;Alterna;0;0;88;0;0;0;224;0;135;0;30;0;0;477;88;224;135;30;0;0.94;0.06
ARG;95;1963;;1900;63;45;7.13;5.80;1.33;Alfredo Orgaz;AOrgaz;PSD;3.38;Perdedor;Alterna;0;0;0;0;0;216;0;0;45;0;60;0;0;321;0;216;45;60;0;0.81;0.19
ARG;96;1966;;1914;52;34;5.29;5.29;0.00;Juan Carlos Onganía;JCOngania;Revolución Argentina;0;De facto;Despoja;0;0;0;0;180;0;0;0;0;0;0;0;0;180;0;180;0;0;0;1;0
ARG;97;1970;;1920;50;32;13.72;13.72;0.00;Roberto Marcelo Levingston;RLevingston;Revolución Argentina;0;De facto;Despoja;0;0;187;0;252;0;0;0;0;0;0;0;0;439;187;252;0;0;0;1;0
ARG;98;1971;;1918;53;35;17.74;17.74;0.00;Alejandro Agustín Launsse;ALanusse;Revolución Argentina;0;De facto;Despoja;0;0;198;0;423;0;0;0;0;0;0;0;0;621;198;423;0;0;0;1;0
ARG;99;1973;;1895;78;60;14.62;14.28;0.33;Juan Domingo Perón;JDPerón;FREJULI, PIF;61.85;Ganador;Mantiene;260;120;220;0;72;0;0;0;185;0;0;20;0;877;600;72;185;0;20;0.98;0.02
ARG;100;1973;;1904;69;51;7.61;7.22;0.39;Ricardo Balbin;Rbalbín;UCR ;24.42;Perdedor;Alterna;0;0;77;0;0;0;56;0;235;0;0;20;0;388;77;56;235;0;20;0.95;0.05
ARG;101;1973;;1919;54;36;16.11;16.11;0.00;Francisco Guillermo Manrique;Fmanrique;APF;12.19;Perdedor;Mantiene;0;0;220;0;315;0;0;0;45;0;0;0;0;580;220;315;45;0;0;1;0
ARG;102;1973;;1933;40;22;5.41;4.59;0.82;Juan Carlos Hipólito Coral;JCCoral;PST;1.52;Perdedor;Alterna;0;0;0;0;0;0;56;0;45;0;0;18;0;119;0;56;45;0;18;0.85;0.15
ARG;103;1973;;1909;64;46;11.96;11.96;0.00;Oscar Eduardo Alende;Oalende;APR;7.4;Perdedor;Alterna;0;0;99;100;0;0;161;0;190;0;0;0;0;550;99;261;190;0;0;1;0
ARG;104;1973;;1913;60;42;22.50;19.45;3.05;Álvaro Carlos Alsogaray;Aalsogaray;NF;2.07;Perdedor;Alterna;0;0;627;;45;0;0;0;145;80;48;0;0;945;627;45;145;128;0;0.86;0.14
ARG;105;1974;;1931;43;25;8.60;8.60;0.00;María Estela Martínez de Perón;EPeron;FREJULI;0;De facto;Interino;0;120;0;0;0;0;0;0;95;0;0;0;0;215;120;0;95;0;0;1;0
ARG;106;1976;;1925;51;33;17.27;17.27;0.00;Jorge Rafael Videla;JVidela;Proceso de Reorganizacion Nacional;0;De facto;Despoja;0;0;110;100;360;0;0;0;0;0;0;0;0;570;110;460;0;0;0;1;0
ARG;107;1981;a;1924;57;39;14.36;14.36;0.00;Roberto Eduardo Viola;RViola;Proceso de Reorganizacion Nacional;0;De facto;Despoja;0;0;110;0;450;0;0;0;0;0;0;0;0;560;110;450;0;0;0;1;0
ARG;108;1981;b;1926;55;37;14.16;14.16;0.00;Leopoldo Fortunato Galtieri;LGaltieri;Proceso de Reorganizacion Nacional;0;De facto;Despoja;0;0;110;0;414;0;0;0;0;0;0;0;0;524;110;414;0;0;0;1;0
ARG;109;1982;;1928;54;36;12.81;12.81;0.00;Reynaldo Benito Antonio Bignone;RBignone;Proceso de Reorganizacion Nacional;0;De facto;Despoja;0;0;110;0;351;0;0;0;0;0;0;0;0;461;110;351;0;0;0;1;0
ARG;110;1983;;1927;56;38;9.92;7.82;2.11;Raúl Ricardo Alfonsín;RRalfonsín;UCR ;51.75;Ganador;Restaura;0;0;0;0;0;0;154;48;95;0;60;20;0;377;0;154;143;60;20;0.79;0.21
ARG;111;1983;;1916;67;49;8.71;8.71;0.00;Ítalo Argentino Luder;Iluder;PJ;40.6;Perdedor;Recupera;130;0;0;0;0;0;252;0;45;0;0;0;0;427;130;252;45;0;0;1;0
ARG;112;1983;;1909;74;56;10.63;10.63;0.00;Oscar Eduardo Alende;Oalende;PI;2.33;Perdedor;Alterna;0;0;99;100;0;0;161;0;235;0;0;0;0;595;99;261;235;0;0;1;0
ARG;113;1983;;1914;69;51;6.22;4.80;1.41;Rogelio Frigerio;Rfrigerio;MID;1.19;Perdedor;Alterna;0;0;110;0;0;0;0;0;135;72;0;0;0;317;110;0;135;72;0;0.77;0.23
ARG;114;1983;;1919;64;46;13.59;13.59;0.00;Francisco Guillermo Manrique;Fmanrique;AF;0.7;Perdedor;Alterna;0;0;220;0;315;0;0;0;90;0;0;0;0;625;220;315;90;0;0;1;0
ARG;115;1983;;1913;70;52;20.00;17.54;2.46;Álvaro Carlos Alsogaray;Aalsogaray;CNC;0.4;Perdedor;Alterna;0;0;627;0;45;0;0;0;240;80;48;0;0;1040;627;45;240;128;0;0.88;0.12
ARG;116;1983;;1933;50;32;9.06;9.06;0.00;Rafael Juan Martínez Raymonda;Rmartínez;ADS;0.32;Perdedor;Alterna;0;0;88;0;0;0;112;0;90;0;0;0;0;290;88;112;90;0;0;1;0
ARG;117;1983;;1927;56;38;5.16;5.16;0.00;Francisco Cerro;Fcerro;PDC;0.31;Perdedor;Alterna;0;0;0;0;0;0;56;0;140;0;0;0;0;196;0;56;140;0;0;1;0
ARG;118;1983;;1948;35;17;4.41;2.65;1.76;Luis Fernando Zamora;Lzamora;MAS;0.28;Perdedor;Alterna;0;0;0;0;0;0;0;0;45;0;30;0;0;75;0;0;45;30;0;0.6;0.4
ARG;119;1983;;1930;53;35;6.54;4.14;2.40;Guillermo Emilio Estévez Boero;Gestevez;PSP;0.14;Perdedor;Alterna;0;0;0;0;0;0;0;0;145;0;84;0;0;229;0;0;145;84;0;0.63;0.37
ARG;120;1983;;1921;62;44;4.43;3.30;1.14;Jorge Abelardo Ramos;Jramos;FIP;0.1;Perdedor;Alterna;0;0;0;0;0;0;0;0;145;0;30;20;0;195;0;0;145;30;20;0.74;0.26
ARG;121;1983;;1934;49;31;2.42;1.45;0.97;Gregorio Flores;Gflores;PO;0.09;Perdedor;Alterna;0;0;0;0;0;0;0;0;45;0;30;0;0;75;0;0;45;30;0;0.6;0.4
ARG;122;1989;;1930;59;41;7.93;7.20;0.73;Carlos Menem;Cmenem;PJ;47.49;Ganador;Alterna;0;0;0;200;0;0;0;0;95;0;30;0;0;325;0;200;95;30;0;0.91;0.09
ARG;123;1989;;1931;58;40;15.15;14.90;0.25;Eduardo César Angeloz;Eangeloz;UCR,CFI;36.79;Perdedor;Alterna;0;0;0;300;0;0;161;0;135;0;0;10;0;606;0;461;135;0;10;0.98;0.02
ARG;124;1989;;1913;76;58;21.50;19.29;2.21;Álvaro Carlos Alsogaray;Aalsogaray;UcdeDe;6.23;Perdedor;Alterna;0;0;627;0;45;0;112;0;335;80;48;0;0;1247;627;157;335;128;0;0.9;0.1
ARG;125;1989;;1931;58;40;2.00;2.00;0.00;José Corzo Gómez;Jcorzo;BJ;1.88;Perdedor;Alterna;0;0;0;0;0;0;0;0;80;0;0;0;0;80;0;0;80;0;0;1;0
ARG;126;1989;;1926;63;45;14.22;14.22;0.00;Antonio Domingo Bussi;ADBussi;FR ;1.1;Perdedor;Alterna;0;0;0;100;495;0;0;0;45;0;0;0;0;640;0;595;45;0;0;1;0
ARG;127;1989;;1945;44;26;5.38;5.38;0.00;Néstor Vicente;Nvicente;AIU;2.4;Perdedor;Alterna;0;0;0;0;0;0;0;0;140;0;0;0;0;140;0;0;140;0;0;1;0
ARG;128;1989;;1930;59;41;8.78;6.00;2.78;Guillermo Emilio Estévez Boero;Gestevez;AUS;1.41;Perdedor;Alterna;0;0;0;0;0;0;56;0;190;0;114;0;0;360;0;56;190;114;0;0.68;0.32
ARG;129;1989;;1942;47;29;8.10;5.00;3.10;Jorge Altamira;Jaltamira;PO;0.27;Perdedor;Alterna;0;0;0;0;0;0;0;0;145;0;90;0;0;235;0;0;145;90;0;0.62;0.38
ARG;130;1995;;1930;65;47;11.70;11.06;0.64;Carlos Menem;Cmenem;UCD ;49.94;Ganador;Conserva;130;0;0;200;0;0;0;0;190;0;30;0;0;550;130;200;190;30;0;0.95;0.05
ARG;131;1995;;1945;50;32;9.59;9.59;0.00;José Octavio Bordón;JOBordón;FPS;29.3;Perdedor;Alterna;0;0;0;100;0;0;112;0;95;0;0;0;0;307;0;212;95;0;0;1;0
ARG;132;1995;;1948;47;29;17.10;17.10;0.00;Horacio Massaccesi;Hmassaccesi;UCR ;16.99;Perdedor;Alterna;0;0;0;290;0;0;161;0;45;0;0;0;0;496;0;451;45;0;0;1;0
ARG;133;1995;;1944;51;33;11.79;10.58;1.21;Aldo Rico;Arico;MDI;1.78;Perdedor;Alterna;0;0;0;0;135;0;119;0;95;0;0;40;0;389;0;254;95;0;40;0.9;0.1
