Source,Target,Type,Id,Label,Weight
114,26,Directed,e228,,1
114,27,Directed,e229,,1
114,39,Directed,e230,,1
114,88,Directed,e231,,1
114,89,Directed,e232,,1
114,111,Directed,e233,,1
114,116,Directed,e234,,1
115,21,Directed,e235,,1
117,26,Directed,e236,,1
117,27,Directed,e237,,1
117,29,Directed,e238,,1
117,31,Directed,e239,,1
117,88,Directed,e240,,1
117,118,Directed,e241,,1
117,119,Directed,e242,,1
119,16,Directed,e243,,1
120,15,Directed,e244,,1
120,26,Directed,e245,,1
120,58,Directed,e246,,1
120,59,Directed,e247,,1
120,115,Directed,e248,,1
120,121,Directed,e249,,1
122,15,Directed,e250,,1
122,32,Directed,e251,,1
122,52,Directed,e252,,1
123,56,Directed,e253,,1
123,124,Directed,e254,,1
125,16,Directed,e255,,1
125,20,Directed,e256,,1
125,26,Directed,e257,,1
125,39,Directed,e258,,1
125,45,Directed,e259,,1
125,50,Directed,e260,,2
126,16,Directed,e261,,1
126,26,Directed,e262,,1
126,29,Directed,e263,,1
126,46,Directed,e264,,1
126,71,Directed,e265,,1
126,88,Directed,e266,,1
126,127,Directed,e267,,1
126,128,Directed,e268,,1
126,130,Directed,e269,,1
126,131,Directed,e270,,1
126,133,Directed,e271,,1
127,49,Directed,e272,,1
127,88,Directed,e273,,1
127,128,Directed,e274,,1
128,19,Directed,e275,,1
128,30,Directed,e276,,1
128,47,Directed,e277,,1
128,88,Directed,e278,,1
128,102,Directed,e279,,1
128,126,Directed,e280,,1
128,127,Directed,e281,,1
129,52,Directed,e282,,1
129,130,Directed,e283,,1
130,126,Directed,e284,,1
132,126,Directed,e285,,1
133,132,Directed,e286,,1
134,5,Directed,e287,,1
134,16,Directed,e288,,1
134,26,Directed,e289,,1
134,40,Directed,e290,,1
134,66,Directed,e291,,1
134,68,Directed,e292,,1
134,119,Directed,e293,,1
134,135,Directed,e294,,1
134,136,Directed,e295,,1
135,16,Directed,e296,,1
138,18,Directed,e297,,1
138,26,Directed,e298,,1
138,43,Directed,e299,,1
138,46,Directed,e300,,1
139,26,Directed,e301,,1
139,39,Directed,e302,,1
139,121,Directed,e303,,1
139,131,Directed,e304,,1
139,140,Directed,e305,,1
141,26,Directed,e306,,1
141,89,Directed,e307,,1
141,140,Directed,e308,,1
141,143,Directed,e309,,1
